Lig,"dG exp (kcal/mol)",Binder,"Glide SP score","Glide XP score","WScore 21-4 canonical","ABFEP run1","ABFEP run2","ABFEP run3"
JAK2_179,-8.52,1,-10.57,-11.528,-9.90360997966773,-16.5653,-16.9718,-15.4655
JAK2_WC1,-8.65,1,-9.807,-10.854,-8.34708439186557,-14.7896,-14.2826,-14.3953
JAK2_190-GlideSPPose,-8.81,1,-8.438,-11.239,-8.83450193095215,-14.2441,-14.5024,-16.9795
JAK2_WC2,-6.42,1,-7.744,-8.315,-7.75850615869358,-12.8194,-11.9533,-12.4236
JAK2_170,-7.27,1,-9.371,-10.453,-8.86662792391714,-12.7634,-12.5474,-12.361
JAK2_NVP-BSK805,low,1,-6.521,-4.694,11.6164515433376,-11.0276,-11.021,-10.1101
JAK2_BI_R,-7.77,1,-6.511,-3.578,10.9907809105844,-10.0309,-9.67243,-9.84764
JAK2_118,-6.52,1,-9.213,-10.638,-8.9631014100415,-9.56232,-9.92689,-8.93356
JAK2_198,,0,-11.797,-13.417,-7.92094930548408,-9.14065,-8.57473,-8.72544
JAK2_96-TopPose,-6.78,1,-9.706,-9.79,-8.56895491918182,-9.07276,-8.4498,-8.87501
JAK2_210,,0,-10.715,-11.707,-8.26876976251208,-8.82561,-8.6977,-8.11615
JAK2_199,,0,-11.781,-13.178,-5.25808904688467,-8.58875,-8.26662,-8.32924
JAK2_209,,0,-10.731,-11.055,-9.55629152647392,-8.51722,-8.04242,-8.65599
JAK2_82-TopPose,-5.90,1,-9.051,-10.256,-7.47436210918092,-8.39969,-8.74933,-8.70719
JAK2_207,,0,-10.84,-12.206,-6.83317631306199,-8.36907,-8.25918,-7.88305
JAK2_205,,0,-11.041,-11.045,4.94255749478145,-7.91292,-8.1713,-7.71102
JAK2_PRT062607,-7.09,1,-7.689,-6.007,-8.06190446370814,-7.85125,-7.70434,-7.77617
JAK2_203,,0,-11.182,-12.323,-7.4459671104547,-7.69596,-6.94854,-7.98458
JAK2_216,,0,-10.434,-11.449,-4.83292811987331,-7.67078,-6.85731,-7.22518
JAK2_204,,0,-11.084,-12.896,-3.31930638478718,-7.57957,-7.38478,-7.76492
JAK2_222,,0,-10.277,-9.923,3.32654655186001,-7.4181,-7.21262,-7.50718
JAK2_225,,0,-9.817,-11.242,-7.50670358457866,-7.39522,-7.46536,-7.08774
JAK2_218,,0,-10.208,-10.892,-8.67432743348043,-7.28533,-6.71209,-8.17768
JAK2_67Top,-6.46,1,-9.033,-9.678,4.32049563223682,-7.23812,-5.54536,-5.42927
JAK2_221,,0,-10.294,-10.476,-11.0249830088317,-6.88891,-7.21192,-6.96307
JAK2_211,,0,-10.695,-12.289,-3.28360713945306,-6.6989,-7.23017,-7.44988
JAK2_226,,0,-9.805,-10.727,-6.75248744185747,-6.45073,-6.29077,-7.4979
JAK2_224,,0,-9.817,-11.148,11.3562732938507,-6.3725,-4.8797,-7.50627
JAK2_215,,0,-10.588,-11.717,7.35010040096905,-6.33793,-6.40271,-6.42469
JAK2_214,,0,-10.59,-12.105,-8.09790240998886,-6.24853,-7.07884,-6.34161
JAK2_201,,0,-11.226,-12.145,-9.02895606426695,-6.16475,-6.29598,-6.49594
JAK2_213,,0,-10.61,-12.399,-6.08340058660291,-5.76388,-4.26993,-3.63442
JAK2_206,,0,-10.886,-13.755,-6.10540683469183,-5.62735,-5.62223,-5.87657
JAK2_220,,0,-9.882,-9.857,6.65606704011221,-5.40715,-5.10681,-4.89927
JAK2_202,,0,-11.222,-12.586,-7.36048841807116,-5.00152,-5.40918,-5.08221
JAK2_200,,0,-11.341,-12.831,-7.50941122036954,-4.49505,-5.16425,-4.67252
JAK2_Filgotinib,low,1,-6.265,-6.413,19.3563892347208,-4.13381,-4.0373,-3.75815
JAK2_223,,0,-10.1,-11.159,8.35969380788264,-3.86265,-4.12544,-5.07796
JAK2_BI_S,-7.77,1,-7.098,-6.594,12.0764042986777,-2.9,-2.73143,-3.07881
JAK2_227,,0,-9.798,-9.405,13.4743347642971,-1.93522,-2.71743,-2.8272
JAK2_208,,0,-10.785,-11.413,7.68521458119176,-1.58281,-1.99451,-2.63573
